country_code,country,year,sdg_index_score,goal_1_score,goal_2_score,goal_3_score,goal_4_score,goal_5_score,goal_6_score,goal_7_score,goal_8_score,goal_9_score,goal_10_score,goal_11_score,goal_12_score,goal_13_score,goal_14_score,goal_15_score,goal_16_score,goal_17_score
AFG,Afghanistan,2019,46.4,29.4,47,36.5,42,30.8,49.2,35.6,40.6,9.7,0,29.8,96.7,99,0,60.9,46.1,42
ALB,Albania,2019,73.7,98.5,58.3,82.6,95.2,57.4,73.6,84.2,66.1,39.3,88.1,78.1,81.7,90.3,49.4,80.1,63.4,65.7
DZA,Algeria,2019,70.8,97.5,58,75.8,76.9,49.9,58,65.4,69.2,47.9,97,62.2,89.2,88.3,64.8,62.1,64,77
AGO,Angola,2019,50.7,34.1,56.2,35.3,42.2,49.8,54.1,43.1,57.6,13.6,16.5,43.2,94.1,96.2,67.7,66.2,42.6,49.8
ARG,Argentina,2019,73,96.1,69.5,81.5,97.2,79.6,77.9,73,74,53,38.2,85.7,78.1,89,61.4,59.2,64.1,63.5
ARM,Armenia,2019,72.6,91.1,52.3,76.9,73.2,62.7,65.6,74.4,72.5,44,89.4,76.8,88.4,92.2,0,61.9,77.8,62.3
AUS,Australia,2019,75.2,99.3,57,95.6,91,81,93.9,72.2,85.9,91.8,77.9,87,46.7,14.6,65.8,64.2,84.4,70.4
AUT,Austria,2019,83.1,99.5,73,92.9,98.2,83.8,92.2,86,83.4,96,94.6,92.5,49.6,56.6,0,73.6,91.7,66.4
AZE,Azerbaijan,2019,73.2,100,62.4,73.1,80.8,53.8,66.1,67.8,74.1,38.9,97.5,82.2,86.3,82.7,0,65.7,69.5,71
BHS,"Bahamas, The",2019,60.3,0,63.4,80.9,58,68.9,48.8,70.8,66.1,54.7,0,93.8,52.9,68.1,59.1,42.1,53.1,23.1
BHR,Bahrain,2019,60.7,0,66.3,88.4,85.2,52.3,67.9,71.4,82.1,58.8,0,64.1,66.3,14.6,47.9,46.2,64.3,34
BGD,Bangladesh,2019,63.6,69,69.8,62.5,69.2,53.8,67,48.2,73.5,34.6,81.3,51.5,95.6,96.3,65.2,54.6,48.6,40.2
BRB,Barbados,2019,69.6,0,56.5,83.9,96.2,72.2,52.4,70.7,67.1,51.9,0,90.5,55,89.1,63.4,65.3,65.9,64.2
BLR,Belarus,2019,78.3,99,63.5,83.5,96.4,78.9,83.3,70.3,67.2,53.3,100,84.5,71.7,68.3,0,94.1,64.6,73.9
BEL,Belgium,2019,79,99.5,71.2,93.2,94.4,87.5,70.6,74,84.4,94.6,100,88.1,44.9,52.2,56.7,82,86.1,63.2
BLZ,Belize,2019,67,62.6,66.1,76.4,78,56.3,68.3,75.1,66.6,35.9,0,76.4,77.5,92.6,70.3,50.1,54.2,66.3
BEN,Benin,2019,54,46.7,64.6,42.8,56.3,33.6,49.3,11.5,73.7,21.5,62,42.9,96.9,97.8,60,65.4,48.3,44.1
BTN,Bhutan,2019,71,94.5,56.5,73.2,62.9,60.5,69.3,73.7,72.7,40.8,64.4,84.5,88.1,90.1,0,65.7,83.3,56.5
BOL,Bolivia,2019,69.8,93,64.2,66.7,89.1,72.1,68.5,63.8,73.9,30.1,45.8,75.9,91.7,93.1,0,66.2,52.7,69.6
BIH,Bosnia and Herzegovina,2019,73,99.8,65.7,77,64.1,43.4,73.2,71.3,73.4,43.2,80.8,75.4,77.8,84.8,83.6,79.7,66.8,80.6
BWA,Botswana,2019,61.7,61.6,44.1,50.6,65.8,69,68,48,65.2,50.1,13.7,74.6,84.7,89,0,74.3,63.2,65.2
BRA,Brazil,2019,72.4,84.7,70.8,78.2,86.1,70.5,85.8,90.5,72.1,64.8,13.4,80.9,83.5,93.9,63.7,59.2,58.1,74.7
BRN,Brunei Darussalam,2019,63.6,0,55.6,85.3,92.4,61.5,59.2,62.9,68.9,74.7,0,99.9,48.4,1.3,49.7,67.6,63.2,63.7
BGR,Bulgaria,2019,74.6,100,67.7,79.2,79.5,71.4,66.3,71.4,81,63.5,51,77.2,75.7,84.5,65.3,94.2,68.9,72.1
BFA,Burkina Faso,2019,51.5,24.6,61.1,46.1,26.5,43.6,45,20.8,71,15.4,22.1,60.7,95.7,98.8,0,87.9,49.4,54.8
BDI,Burundi,2019,52.9,0,59.5,48.4,49.6,59.5,55.2,19.2,55,12,58.4,59.3,96.6,99.8,0,72.4,49.7,52
CPV,Cabo Verde,2019,67.7,84.2,46.1,75.4,79,67.9,66.7,61,60.4,38.7,41.6,79,81.3,97.3,56.8,70.9,80.6,63.9
KHM,Cambodia,2019,62.3,0,68.1,63,59.8,55.4,62,55.6,61.1,33.3,0,74.2,93.3,95.2,59.7,49.3,50.7,53.7
CMR,Cameroon,2019,54.5,48.1,60.8,39,48.1,54.4,55.8,48.9,66.3,24.2,23.1,40.5,96.4,98.1,73.7,64.2,40.9,44.4
CAN,Canada,2019,77.8,99.6,65.3,94.2,98.9,83,86.1,80.3,84.6,87.8,86.2,90.6,51.7,37.4,61.8,60.5,83.9,71.4
CAF,Central African Republic,2019,38.5,4.7,36.4,12.3,19.3,31.8,40.5,19.1,53.8,6.5,9.6,22.2,94.5,99.5,0,89.8,40.9,35.2
TCD,Chad,2019,42.1,26.3,33.5,24.5,10.8,21.8,42.2,8,64.6,7.6,63,28,91,99.1,0,75.2,32.4,46.2
CHL,Chile,2019,77.6,98.6,72.5,87.8,95.7,71,89.4,81.3,81.9,70.7,26.2,86.7,77.9,81.5,81,60.6,75.1,81.9
CHN,China,2019,71.5,96.8,83.1,81.6,99.5,78.1,68.5,67.3,77,76.6,34.9,79.1,87,78.8,55.2,49.6,59.9,42.5
COL,Colombia,2019,70.3,83.3,64.9,84.2,92.1,70.4,79.1,77.3,70.7,45.1,16.5,85.7,87.7,89.8,57,64.5,56.1,71.4
COM,Comoros,2019,52.4,49.9,44.3,57.4,38.1,28.3,49,38.4,44.5,24.9,25.6,58.6,95.8,99,43.2,72.5,59.3,61.3
COD,"Congo, Dem. Rep.",2019,47.8,5.9,52,36.6,37.4,41.5,43.1,28.9,60.5,12.7,43,41.4,97.7,99.6,77.9,69.4,34.3,31.3
COG,"Congo, Rep.",2019,52.7,23.8,53.2,44.2,47.2,54.7,51.9,43.2,53.4,6.5,19.9,54.9,95.3,92.1,71.9,83,50.4,50.3
CRI,Costa Rica,2019,73.1,95.7,53.7,88.4,90.1,82.1,74.5,85.4,75.1,56.6,20.8,93.4,77,89.7,56.1,64.1,75.8,63.5
CIV,Cote d'Ivoire,2019,61.3,69.3,66.3,44,50.4,47.8,55.1,46.5,74.4,29.8,64.1,53.8,95.7,97.8,79.3,69.6,53.2,45.1
HRV,Croatia,2019,80.6,100,74.3,86.8,97.1,64.3,86.4,83.2,81.4,72.3,94.2,79.9,72.6,83.6,84.9,88.2,71.3,49.1
CUB,Cuba,2019,75.6,0,61.7,84.5,93.9,83.2,73,76.5,93.6,38.7,0,64.9,88.4,91.4,75.3,64.5,61.1,82.9
CYP,Cyprus,2019,72.5,99.9,55.1,91.4,98.4,70.6,67.9,74.1,74,73.9,85.5,79,48.2,68.3,50.1,78.6,76.7,40
CZE,Czechia,2019,81.1,99.9,61.2,90.4,92.3,73.1,82.9,76,85.9,82.4,100,92.5,58.2,71.6,0,92.7,81.7,56.7
DNK,Denmark,2019,85,99.2,72.1,95.6,97.7,86.4,90.7,87.7,87.1,96.6,98.2,92.2,37.3,60.3,75.9,92.8,94.5,81
DJI,Djibouti,2019,51.6,57.2,52.4,53.9,22.5,37.1,57.7,16.5,53.6,31.9,44.4,71,87.8,90.6,57.5,38.3,56.5,48.7
DOM,Dominican Republic,2019,72.1,95.9,75.1,67.9,89.8,70.8,67.5,68.7,76.1,45.6,43.6,86.4,82.3,91.8,83.8,74.2,53.4,53.7
_E_S_Asia,East and South Asia,2019,66.2,86.8,66.9,70,84.2,60.8,63.7,63.4,74,58.3,37.5,61.8,90.6,90.7,60.2,49.5,55.8,51.2
_E_Euro_Asia,Eastern Europe and Central Asia,2019,71.5,85.7,58.4,74.3,88.5,66,68.5,63.6,72.9,53,82.1,77.3,83.4,80.1,0,69.6,55.6,65.1
ECU,Ecuador,2019,71.1,87.5,58,80,93.6,78.5,75,74.5,73.6,45.5,24.4,77.1,84.7,92.7,80,58.4,57.7,66.7
EGY,"Egypt, Arab Rep.",2019,68.3,81.4,63.3,69.5,66.4,51.5,65,69.9,66.7,50.3,83.9,68.5,91.1,94.9,51.4,68.7,61.8,57.1
SLV,El Salvador,2019,69.8,93.2,55.9,80.3,81.5,66.9,72.6,71.7,70.2,33.5,57.7,86.2,86.4,94.8,43.8,68.5,58.6,64.8
EST,Estonia,2019,80.7,100,64.9,88.6,96,77.9,84.1,78,81.7,82.4,89.1,93.3,52.2,59,87.6,96.1,90,51.8
SWZ,Eswatini,2019,56.9,32.5,49.6,37.2,74,68.5,50.5,69.3,47.2,35,11.8,84.4,85.4,97.4,0,50,56.7,61.3
ETH,Ethiopia,2019,53.2,35.2,54.3,46.7,34.1,57.8,38.2,33,67.1,25.1,71.7,51.2,98.8,98.2,0,57.6,38.9,43.2
FJI,Fiji,2019,73,91.3,59.1,71.4,98.7,57.7,72.4,62.8,52.7,56,88.1,94,85.2,96.3,72.5,45.6,76.2,60.9
FIN,Finland,2019,86.1,99.6,63.6,95.6,98.1,91.8,94.3,93,87.1,95,97.2,89.2,57.7,67.3,88,85.1,91.7,69.6
FRA,France,2019,81.5,99.7,72.4,93.4,99.7,87.5,89.3,78.6,84.5,91.5,87.5,92.6,58.8,73.5,65.6,68.8,76.3,66.6
GAB,Gabon,2019,62.2,89.6,51.5,49.4,60.4,45.9,61.3,84.8,65.9,34.6,61.8,49.8,83.6,89.6,65.8,82.9,40.1,41.2
GMB,"Gambia, The",2019,58,56.9,47.3,50,48.6,42.9,59.7,30.4,67.6,22,69.1,59.3,96.2,99,63.9,85.5,48.2,39.8
GEO,Georgia,2019,74.2,82.9,54.8,75.3,99.4,59.3,80.3,79.4,72.9,49.4,69.7,85.7,85.7,91,61.1,68.9,77.1,67.9
DEU,Germany,2019,82.6,99.5,72.3,93.7,97.3,79.7,88.4,77.2,87.2,94.3,88.1,92.1,53.1,63.3,73.9,79.3,88.9,76.1
GHA,Ghana,2019,61.6,55.8,69.5,53.3,84.4,54,57.1,50.3,74.9,43.6,35.2,51.4,95.4,96.7,44.9,68,67.7,45
GRC,Greece,2019,77.5,99.2,66.2,90.5,96,64,87.7,76.4,68,77,84.6,84.8,66.9,78.8,65.9,81.4,73.4,57.4
GTM,Guatemala,2019,59.2,74.2,42.9,68.8,72.2,49.7,68.8,57.4,71.5,22.1,20.7,77.8,90,95.9,56.1,43.8,46.4,47.6
GIN,Guinea,2019,53.5,55.4,57.4,30.9,26.3,31.3,51.4,27,66.2,11.5,91.8,50,96.5,98.4,57.9,67.6,41.1,48.8
GUY,Guyana,2019,67.7,83.7,66.5,65.9,89.9,62.9,69.2,61.5,72.5,33.8,0,83.7,85.8,84,37.3,73,57.2,57.1
